mfg,size,kv,prop,batt,maxrpm,minvolt,maxvolt,maxcurr,maxthr,pwm200,curr200,gpw200,curr50,thr50,filename
Airbot,1806,2300,HQ5040x3CFN(4),4s,25294,16.37,16.7,15.26,559.27,1454,3.99,3.024,4.58,223.38,Airbot_1806_2300kv/Airbot_1806_2300kv_HQ5040x3CFN(4)_4s.csv
Airbot,1806,2300,HQ5040x3N,3s,18565,12.38,12.59,14.07,516.97,1468,3.75,4.249,4.13,217.2,Airbot_1806_2300kv/Airbot_1806_2300kv_HQ5040x3N_3s.csv
Airbot,1806,2300,HQ5040x3N,4s,21668,16.05,16.75,18.76,704.61,1318,3.12,3.855,5.66,322.31,Airbot_1806_2300kv/Airbot_1806_2300kv_HQ5040x3N_4s.csv
Airbot,1806,2300,HQ5045N,3s,20108,12.46,12.58,11.95,465.85,1548,3.93,4.062,3.46,179.75,Airbot_1806_2300kv/Airbot_1806_2300kv_HQ5045N_3s.csv
Airbot,1806,2300,HQ5045N,4s,23974,16.37,16.74,16.8,663.15,1380,3.26,3.686,4.78,275.34,Airbot_1806_2300kv/Airbot_1806_2300kv_HQ5045N_4s.csv
Airbot,1806,2300,HQ6045x3CFN(4),4s,21360,16.36,16.79,19.66,556.34,1422,4.5,2.677,5.83,247.1,Airbot_1806_2300kv/Airbot_1806_2300kv_HQ6045x3CFN(4)_4s.csv
Cobra,2204,1960,DAL5030N,3s,20022,12.53,12.6,7.05,377.49,1676,3.52,4.535,2.47,138.92,Cobra_2204_1960kv/Cobra_2204_1960kv_DAL5030N_3s.csv
Cobra,2204,1960,DAL5030N,4s,25328,16.58,16.78,9.93,586.56,1474,3.04,3.935,3.24,214.57,Cobra_2204_1960kv/Cobra_2204_1960kv_DAL5030N_4s.csv
Cobra,2204,1960,DAL6040N,3s,17314,12.47,12.61,14.6,628.87,1442,3.39,4.69,4.06,232.28,Cobra_2204_1960kv/Cobra_2204_1960kv_DAL6040N_3s.csv
Cobra,2204,1960,DAL6040N,4s,21000,16.35,16.79,20.86,921.31,1308,2.9,4.138,5.59,358.36,Cobra_2204_1960kv/Cobra_2204_1960kv_DAL6040N_4s.csv
Cobra,2204,1960,GF4045CFN,3s,21017,12.55,12.6,4.59,209.76,1982,4.22,3.779,1.91,76.77,Cobra_2204_1960kv/Cobra_2204_1960kv_GF4045CFN_3s.csv
Cobra,2204,1960,GF4045CFN,4s,26888,16.68,16.8,6.48,332.23,1714,3.58,3.343,2.42,122.07,Cobra_2204_1960kv/Cobra_2204_1960kv_GF4045CFN_4s.csv
Cobra,2204,1960,GF5030N,3s,19997,12.52,12.59,7.01,384.71,1654,3.27,4.866,2.42,147.62,Cobra_2204_1960kv/Cobra_2204_1960kv_GF5030N_3s.csv
Cobra,2204,1960,GF5030N,4s,25311,16.61,16.81,10.09,599.4,1460,2.88,4.143,3.17,221.44,Cobra_2204_1960kv/Cobra_2204_1960kv_GF5030N_4s.csv
Cobra,2204,1960,GF5040CFN,3s,19294,12.47,12.61,8.74,423.23,1582,3.31,4.821,2.82,170,Cobra_2204_1960kv/Cobra_2204_1960kv_GF5040CFN_3s.csv
Cobra,2204,1960,GF5040CFN,4s,24342,16.53,16.78,12.42,662.82,1408,2.92,4.106,3.71,250.64,Cobra_2204_1960kv/Cobra_2204_1960kv_GF5040CFN_4s.csv
Cobra,2204,1960,GF5040N,3s,19482,12.49,12.61,8.36,420.09,1596,3.47,4.593,2.82,164.51,Cobra_2204_1960kv/Cobra_2204_1960kv_GF5040N_3s.csv
Cobra,2204,1960,GF5040N,4s,24737,16.58,16.8,11.63,640.75,1424,2.96,4.044,3.69,245.15,Cobra_2204_1960kv/Cobra_2204_1960kv_GF5040N_4s.csv
Cobra,2204,1960,GF5045CFN,3s,19165,12.45,12.59,9.05,435.38,1582,3.41,4.674,2.87,166.88,Cobra_2204_1960kv/Cobra_2204_1960kv_GF5045CFN_3s.csv
Cobra,2204,1960,GF5045CFN,4s,24085,16.54,16.81,13.22,700.12,1392,2.83,4.222,3.82,259.17,Cobra_2204_1960kv/Cobra_2204_1960kv_GF5045CFN_4s.csv
Cobra,2204,1960,GF5045N,3s,19062,12.45,12.6,9.26,436.75,1598,3.63,4.388,2.89,158.68,Cobra_2204_1960kv/Cobra_2204_1960kv_GF5045N_3s.csv
Cobra,2204,1960,GF5045N,4s,23862,16.48,16.75,13.51,694.12,1404,3.04,3.944,3.84,252.98,Cobra_2204_1960kv/Cobra_2204_1960kv_GF5045N_4s.csv
Cobra,2204,1960,GF6030CFN,3s,18848,12.52,12.62,10.24,543.27,1520,3.23,4.938,3.07,190.97,Cobra_2204_1960kv/Cobra_2204_1960kv_GF6030CFN_3s.csv
Cobra,2204,1960,GF6030CFN,4s,23425,16.51,16.83,14.95,856.12,1352,2.74,4.352,4.14,301.24,Cobra_2204_1960kv/Cobra_2204_1960kv_GF6030CFN_4s.csv
Cobra,2204,1960,GF6030CF,3s,17914,12.47,12.6,12.71,606.15,1472,3.3,4.835,3.58,223.62,Cobra_2204_1960kv/Cobra_2204_1960kv_GF6030CF_3s.csv
Cobra,2204,1960,GF6030CF,4s,21968,16.38,16.77,18.46,926.56,1324,2.81,4.279,4.99,346.5,Cobra_2204_1960kv/Cobra_2204_1960kv_GF6030CF_4s.csv
Cobra,2204,1960,GF6045CFN,3s,17040,12.44,12.59,15.44,692.24,1404,3.13,5.087,4.23,255.4,Cobra_2204_1960kv/Cobra_2204_1960kv_GF6045CFN_3s.csv
Cobra,2204,1960,GF6045CFN,4s,20520,16.34,16.8,22.01,1015.62,1278,2.64,4.534,6.01,400.1,Cobra_2204_1960kv/Cobra_2204_1960kv_GF6045CFN_4s.csv
Cobra,2204,1960,GF6045CF,3s,16431,12.48,12.65,17.18,728.25,1384,3.15,5.042,4.68,282.33,Cobra_2204_1960kv/Cobra_2204_1960kv_GF6045CF_3s.csv
Cobra,2204,1960,GF6045CF,4s,19680,16.31,16.81,24.45,1038.46,1264,2.64,4.524,6.79,441.15,Cobra_2204_1960kv/Cobra_2204_1960kv_GF6045CF_4s.csv
Cobra,2204,1960,GF6045N,3s,17100,12.49,12.64,15.38,698.86,1402,3.16,5.061,4.28,266.31,Cobra_2204_1960kv/Cobra_2204_1960kv_GF6045N_3s.csv
Cobra,2204,1960,GF6045N,4s,20665,16.32,16.76,21.78,1024.97,1282,2.71,4.417,5.91,406.39,Cobra_2204_1960kv/Cobra_2204_1960kv_GF6045N_4s.csv
Cobra,2204,1960,HQ4045BN,3s,19302,12.5,12.59,8.87,331.17,1732,4.77,3.351,2.85,125.4,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ4045BN_3s.csv
Cobra,2204,1960,HQ4045BN,4s,24282,16.53,16.78,12.62,529.5,1514,3.91,3.062,3.77,193.12,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ4045BN_4s.csv
Cobra,2204,1960,HQ5030CFN,3s,20220,12.52,12.59,6.5,327.27,1688,3.35,4.761,2.35,119.52,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ5030CFN_3s.csv
Cobra,2204,1960,HQ5030CFN,4s,25671,16.62,16.81,9.21,562.95,1466,2.75,4.352,3.02,219.25,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ5030CFN_4s.csv
Cobra,2204,1960,HQ5030N,3s,20434,12.53,12.59,6.01,326.98,1744,3.49,4.568,2.21,124.48,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ5030N_3s.csv
Cobra,2204,1960,HQ5030N,4s,25962,16.59,16.76,8.38,503.68,1520,3,4.01,2.87,190.75,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ5030N_4s.csv
Cobra,2204,1960,HQ5040CFN,3s,19268,12.51,12.6,8.93,436.25,1544,3.19,5,2.87,182.2,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ5040CFN_3s.csv
Cobra,2204,1960,HQ5040CFN,4s,24137,16.48,16.75,12.74,683.29,1366,2.66,4.504,3.77,269.54,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ5040CFN_4s.csv
Cobra,2204,1960,HQ5040x3CFN(4),3s,19474,12.54,12.62,8.55,348.84,1700,4.37,3.637,2.81,135.04,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ5040x3CFN(4)_3s.csv
Cobra,2204,1960,HQ5040x3CFN(4),4s,24471,16.5,16.75,11.94,526.92,1504,3.72,3.226,3.67,197.75,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ5040x3CFN(4)_4s.csv
Cobra,2204,1960,HQ5040x3CFN,3s,18411,12.5,12.62,11.41,515.15,1502,3.43,4.641,3.39,198.72,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ5040x3CFN_3s.csv
Cobra,2204,1960,HQ5040x3CFN,4s,22911,16.44,16.78,16.23,798.07,1340,2.86,4.188,4.59,307,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ5040x3CFN_4s.csv
Cobra,2204,1960,HQ5045BNCFN,3s,17674,12.46,12.59,13.48,544.91,1494,3.72,4.294,3.77,202.81,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ5045BNCFN_3s.csv
Cobra,2204,1960,HQ5045BNCFN,4s,21660,16.41,16.81,19.31,808.94,1338,3.07,3.892,5.26,316.31,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ5045BNCFN_4s.csv
Cobra,2204,1960,HQ5045BNN,3s,17785,12.47,12.6,13.16,532.55,1504,3.79,4.216,3.73,197.17,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ5045BNN_3s.csv
Cobra,2204,1960,HQ5045BNN,4s,21848,16.37,16.75,18.77,794.15,1356,3.27,3.664,5.14,300.31,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ5045BNN_4s.csv
Cobra,2204,1960,HQ5045N-3D,3s,18548,12.5,12.61,11.13,334.48,1712,5.55,2.872,3.27,130.46,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ5045N-3D_3s.csv
Cobra,2204,1960,HQ5045N,3s,19242,12.54,12.63,9.16,417.74,1608,3.67,4.336,2.86,157.17,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ5045N_3s.csv
Cobra,2204,1960,HQ5045N,4s,23948,16.5,16.78,13.34,659.96,1426,3.06,3.903,3.8,241.89,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ5045N_4s.csv
Cobra,2204,1960,HQ6030CFN,3s,19722,12.55,12.63,7.99,422.5,1648,3.58,4.45,2.6,140.47,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ6030CFN_3s.csv
Cobra,2204,1960,HQ6030CFN,4s,24660,16.55,16.78,11.68,692.93,1450,3,3.992,3.43,230.29,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ6030CFN_4s.csv
Cobra,2204,1960,HQ6030N,3s,19345,12.54,12.63,8.95,473.06,1586,3.35,4.74,2.8,161.25,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ6030N_3s.csv
Cobra,2204,1960,HQ6030N,4s,24094,16.54,16.81,13.28,765.17,1400,2.87,4.174,3.7,262.31,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ6030N_4s.csv
Cobra,2204,1960,HQ6035N,3s,17965,12.5,12.62,12.78,612.77,1454,3.2,4.983,3.65,228.58,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ6035N_3s.csv
Cobra,2204,1960,HQ6035N,4s,21960,16.38,16.75,18.37,911.88,1314,2.76,4.35,4.94,351.18,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ6035N_4s.csv
Cobra,2204,1960,HQ6045CFN,3s,16962,12.45,12.61,15.66,715.4,1404,3.18,4.998,4.35,267.44,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ6045CFN_3s.csv
Cobra,2204,1960,HQ6045CFN,4s,20434,16.35,16.8,22.34,1044.01,1280,2.71,4.414,5.97,408.02,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ6045CFN_4s.csv
Cobra,2204,1960,HQ6045x3CFN,3s,15488,12.39,12.59,19.79,785.5,1372,3.38,4.718,5.37,310.96,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ6045x3CFN_3s.csv
Cobra,2204,1960,HQ6045x3CFN,4s,18240,16.44,16.8,28.17,1089.42,1252,2.8,4.259,7.71,484.87,Cobra_2204_1960kv/Cobra_2204_1960kv_HQ6045x3CFN_4s.csv
Cobra,2204,2300,DAL5030N,3s,22534,12.53,12.63,9.98,461.41,1570,3.99,3.995,3.41,169.67,Cobra_2204_2300kv/Cobra_2204_2300kv_DAL5030N_3s.csv
Cobra,2204,2300,DAL5030N,4s,28157,16.55,16.84,13.83,704.67,1390,3.41,3.5,4.47,270.52,Cobra_2204_2300kv/Cobra_2204_2300kv_DAL5030N_4s.csv
Cobra,2204,2300,GF4045CFN,3s,24214,12.59,12.66,6.73,267.55,1832,4.79,3.313,2.66,97.59,Cobra_2204_2300kv/Cobra_2204_2300kv_GF4045CFN_3s.csv
Cobra,2204,2300,GF4045CFN,4s,30317,16.59,16.8,9.37,421.36,1614,4.28,2.796,3.42,154.63,Cobra_2204_2300kv/Cobra_2204_2300kv_GF4045CFN_4s.csv
Cobra,2204,2300,GF5030N,3s,22491,12.55,12.66,10.11,470.17,1562,3.92,4.055,3.42,176.16,Cobra_2204_2300kv/Cobra_2204_2300kv_GF5030N_3s.csv
Cobra,2204,2300,GF5030N,4s,27891,16.53,16.82,14.29,718.28,1382,3.38,3.538,4.39,271.96,Cobra_2204_2300kv/Cobra_2204_2300kv_GF5030N_4s.csv
Cobra,2204,2300,GF5040CFN,3s,21454,12.46,12.65,12.13,513.61,1508,3.99,3.986,3.92,196.38,Cobra_2204_2300kv/Cobra_2204_2300kv_GF5040CFN_3s.csv
Cobra,2204,2300,GF5040CFN,4s,26631,16.49,16.84,17.05,783.11,1346,3.42,3.487,5.22,307.22,Cobra_2204_2300kv/Cobra_2204_2300kv_GF5040CFN_4s.csv
Cobra,2204,2300,GF5040N,3s,21771,12.5,12.61,11.59,511.2,1498,3.86,4.131,3.87,200.73,Cobra_2204_2300kv/Cobra_2204_2300kv_GF5040N_3s.csv
Cobra,2204,2300,GF5040N,4s,27180,16.48,16.8,15.8,755.36,1340,3.3,3.627,5.12,305.84,Cobra_2204_2300kv/Cobra_2204_2300kv_GF5040N_4s.csv
Cobra,2204,2300,GF5045CFN,3s,21188,12.42,12.62,12.57,534.11,1490,3.82,4.172,3.94,205.46,Cobra_2204_2300kv/Cobra_2204_2300kv_GF5045CFN_3s.csv
Cobra,2204,2300,GF5045CFN,4s,26031,16.4,16.81,18.1,808.25,1328,3.25,3.673,5.29,317.1,Cobra_2204_2300kv/Cobra_2204_2300kv_GF5045CFN_4s.csv
Cobra,2204,2300,GF5045N,3s,21025,12.43,12.64,12.99,541.92,1498,4.01,3.97,4.02,200.59,Cobra_2204_2300kv/Cobra_2204_2300kv_GF5045N_3s.csv
Cobra,2204,2300,GF5045N,4s,25808,16.41,16.79,18.72,816.12,1348,3.4,3.52,5.39,313.6,Cobra_2204_2300kv/Cobra_2204_2300kv_GF5045N_4s.csv
Cobra,2204,2300,GF6030CFN,3s,20554,12.4,12.62,14.03,647.4,1450,3.74,4.261,4.01,229.2,Cobra_2204_2300kv/Cobra_2204_2300kv_GF6030CFN_3s.csv
Cobra,2204,2300,GF6030CFN,4s,25200,16.42,16.83,20.24,998,1292,3.08,3.885,5.88,376.39,Cobra_2204_2300kv/Cobra_2204_2300kv_GF6030CFN_4s.csv
Cobra,2204,2300,GF6030CF,3s,19268,12.34,12.61,17.07,710.25,1382,3.52,4.538,5.04,279.25,Cobra_2204_2300kv/Cobra_2204_2300kv_GF6030CF_3s.csv
Cobra,2204,2300,GF6030CF,4s,23125,16.28,16.78,24.39,1027.7,1260,3.02,3.971,6.87,421.52,Cobra_2204_2300kv/Cobra_2204_2300kv_GF6030CF_4s.csv
Cobra,2204,2300,GF6045CF,3s,17142,12.24,12.6,22.14,802.5,1320,3.39,4.711,6.41,345.83,Cobra_2204_2300kv/Cobra_2204_2300kv_GF6045CF_3s.csv
Cobra,2204,2300,GF6045CF,4s,19945,16.22,16.85,31.01,1071.23,1222,3,3.994,8.87,500.75,Cobra_2204_2300kv/Cobra_2204_2300kv_GF6045CF_4s.csv
Cobra,2204,2300,HQ4045BN,3s,21445,12.53,12.66,12.5,413.2,1610,5.2,3.051,3.97,157.56,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ4045BN_3s.csv
Cobra,2204,2300,HQ4045BN,4s,26528,16.48,16.84,17.41,621.65,1430,4.43,2.699,5.41,241.46,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ4045BN_4s.csv
Cobra,2204,2300,HQ5030CFN,3s,22937,12.55,12.64,9.21,422.01,1606,4,3.973,3.19,156.58,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ5030CFN_3s.csv
Cobra,2204,2300,HQ5030CFN,4s,28542,16.54,16.8,12.82,646.46,1420,3.56,3.354,4.29,248.81,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ5030CFN_4s.csv
Cobra,2204,2300,HQ5030N,3s,23228,12.56,12.65,8.6,397.11,1628,4.01,3.957,3.04,149.61,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ5030N_3s.csv
Cobra,2204,2300,HQ5030N,4s,29048,16.59,16.83,11.89,607.56,1438,3.54,3.372,4.24,225.92,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ5030N_4s.csv
Cobra,2204,2300,HQ5040CFN,3s,21360,12.5,12.62,12.49,518.96,1504,4.04,3.939,3.99,197.23,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ5040CFN_3s.csv
Cobra,2204,2300,HQ5040CFN,4s,26340,16.47,16.83,17.68,789.96,1354,3.57,3.361,5.33,305.8,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ5040CFN_4s.csv
Cobra,2204,2300,HQ5040x3CFN(4),3s,19902,12.5,12.67,16.15,481.44,1528,5.24,3.033,4.83,187.82,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ5040x3CFN(4)_3s.csv
Cobra,2204,2300,HQ5040x3CFN(4),4s,24120,16.38,16.84,22.54,694.98,1372,4.44,2.695,6.57,283,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ5040x3CFN(4)_4s.csv
Cobra,2204,2300,HQ5040x3CFN,3s,20091,12.49,12.65,15.59,621.81,1412,3.72,4.271,4.76,247.31,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ5040x3CFN_3s.csv
Cobra,2204,2300,HQ5040x3CFN,4s,24445,16.33,16.78,21.57,887.86,1280,3.21,3.74,6.43,367.1,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ5040x3CFN_4s.csv
Cobra,2204,2300,HQ5045BNCFN,3s,19020,12.45,12.63,18.17,624.93,1410,4.12,3.857,5.36,249.31,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ5045BNCFN_3s.csv
Cobra,2204,2300,HQ5045BNCFN,4s,22740,16.33,16.84,25.47,893.44,1282,3.52,3.392,7.32,376.58,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ5045BNCFN_4s.csv
Cobra,2204,2300,HQ5045BNN,3s,19182,12.44,12.62,17.78,621.82,1410,4.05,3.928,5.27,248.44,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ5045BNN_3s.csv
Cobra,2204,2300,HQ5045BNN,4s,22945,16.24,16.78,24.63,885.51,1280,3.42,3.494,7.15,374.09,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ5045BNN_4s.csv
Cobra,2204,2300,HQ5045N-3D,3s,20280,12.48,12.63,15.25,390.23,1626,6.37,2.497,4.59,151.97,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ5045N-3D_3s.csv
Cobra,2204,2300,HQ5045N-3D,4s,24582,16.35,16.83,21.37,559.68,1444,5.31,2.263,6.3,231,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ5045N-3D_4s.csv
Cobra,2204,2300,HQ5045N,3s,21111,12.41,12.61,12.67,512.88,1510,4.06,3.934,3.93,195.06,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ5045N_3s.csv
Cobra,2204,2300,HQ5045N,4s,25877,16.38,16.79,18.39,760.87,1352,3.53,3.397,5.4,300.72,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ5045N_4s.csv
Cobra,2204,2300,HQ6030CFN,3s,21891,12.49,12.66,11.27,541.86,1520,3.8,4.175,3.6,190.45,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ6030CFN_3s.csv
Cobra,2204,2300,HQ6030CFN,4s,26974,16.52,16.86,16.43,845.31,1358,3.32,3.595,4.89,306.46,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ6030CFN_4s.csv
Cobra,2204,2300,HQ6030N,3s,21351,12.48,12.61,12.52,583.38,1486,3.73,4.271,3.86,205.44,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ6030N_3s.csv
Cobra,2204,2300,HQ6030N,4s,26005,16.43,16.8,18.39,901.66,1326,3.16,3.791,5.2,331.83,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ6030N_4s.csv
Cobra,2204,2300,HQ6035N,3s,19354,12.38,12.65,17.1,695.29,1382,3.56,4.478,5.09,277.89,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ6035N_3s.csv
Cobra,2204,2300,HQ6035N,4s,23245,16.31,16.81,24.38,1012.72,1252,2.96,4.048,6.93,426.32,Cobra_2204_2300kv/Cobra_2204_2300kv_HQ6035N_4s.csv
Cobra,2206,2100,GF5030N,3s,22140,12.52,12.61,9.4,458.07,1582,3.87,4.107,3.27,165.25,Cobra_2206_2100kv/Cobra_2206_2100kv_GF5030N_3s.csv
Cobra,2206,2100,GF5030N,4s,27900,16.53,16.79,13.59,715.77,1402,3.33,3.602,4.4,269.88,Cobra_2206_2100kv/Cobra_2206_2100kv_GF5030N_4s.csv
Cobra,2206,2100,GF5040CFN,3s,21420,12.48,12.59,11.69,517.85,1518,3.93,4.065,3.73,192.55,Cobra_2206_2100kv/Cobra_2206_2100kv_GF5040CFN_3s.csv
Cobra,2206,2100,GF5040CFN,4s,26922,16.46,16.79,16.52,798.16,1358,3.4,3.519,5.14,306.85,Cobra_2206_2100kv/Cobra_2206_2100kv_GF5040CFN_4s.csv
Cobra,2206,2100,GF5040N,3s,21600,12.48,12.66,11.05,507.23,1512,3.84,4.14,3.61,194.06,Cobra_2206_2100kv/Cobra_2206_2100kv_GF5040N_3s.csv
Cobra,2206,2100,GF5040N,4s,27317,16.45,16.76,15.27,766.85,1358,3.39,3.541,4.99,304.31,Cobra_2206_2100kv/Cobra_2206_2100kv_GF5040N_4s.csv
Cobra,2206,2100,GF5045CFN,3s,21197,12.43,12.62,12.16,536.75,1518,4,3.977,3.8,192.65,Cobra_2206_2100kv/Cobra_2206_2100kv_GF5045CFN_3s.csv
Cobra,2206,2100,GF5045CFN,4s,26520,16.45,16.81,17.87,838.16,1360,3.46,3.464,5.26,311.37,Cobra_2206_2100kv/Cobra_2206_2100kv_GF5045CFN_4s.csv
